set_tt;set_tt_o;el3A80;el3A180;el1A80;el1A180;thA80;thA180;SpotPriceEUR
tt280;tt280;0,647;0,93;0,494;0,575;1,2424309;2,79425738;30,23
tt281;tt281;1,222;3,773;1,31;2,166;1,25278307;2,81754242;30,52
tt282;tt282;1,508;1,102;0,637;1,173;1,26061102;2,83514167;30,28
tt283;tt283;0,169;1,102;0,499;0,462;1,25672556;2,82639835;29,88
tt284;tt284;2,428;1,427;0,47;0,433;1,26251603;2,8394269;29,5
tt285;tt285;1,044;0,374;0,422;0,922;1,27844775;2,87525962;29,43
tt286;tt286;0,2;0,788;0,183;0,8;1,29663666;2,91617313;29,21
tt287;tt287;0,377;0,53;0,533;0,376;1,31226;2,95132041;28,83
tt288;tt288;0,34;0,33;0,238;0,533;1,32599253;2,9822102;29,15
tt289;tt289;0,184;0,278;0,071;0,873;1,34200298;3,01821619;29,01
tt290;tt290;0,131;0,091;0,174;0,239;1,35242154;3,04163491;29,09
tt291;tt291;0,136;0,071;0,122;0,325;1,36138827;3,06178593;29,09
tt292;tt292;0,242;0,268;0,27;0,063;1,36987745;3,08087296;29,25
tt293;tt293;0,255;0,346;0,172;0,199;1,38081747;3,10543244;30,64
tt294;tt294;0,076;0,094;0,159;0,256;1,39045655;3,12703966;34,12
tt295;tt295;0,423;0,335;0,225;0,236;1,38970684;3,12531089;39,48
tt296;tt296;0,613;0,728;0,115;1,171;1,38988359;3,12568551;41,28
tt297;tt297;0,183;0,16;0,201;0,903;1,38093987;3,10553385;41,18
tt298;tt298;0,171;0,303;0,462;0,471;1,35660013;3,05079668;41,18
tt299;tt299;0,335;0,278;0,068;0,146;1,32813362;2,98674181;38,31
tt300;tt300;1,055;0,246;0,474;0,517;1,2952758;2,91282847;37,13
tt301;tt301;0,511;0,208;0,414;0,066;1,26781215;2,8510384;37,22
tt302;tt302;0,146;0,258;0,19;0,446;1,26591274;2,84676473;32,24
tt303;tt303;0,471;0,806;0,082;0,799;1,28839492;2,89736223;31,97
tt304;tt304;0,501;1,252;0,192;0,295;1,29722028;2,9172371;35,23
tt305;tt305;3,173;0,709;0,661;0,24;1,30167827;2,92724557;41,24
tt306;tt306;3,056;0,715;0,213;0,932;1,29782259;2,91855876;38,08
tt307;tt307;0,236;0,695;0,203;0,675;1,2878745;2,89617554;31,9
tt308;tt308;1,207;1,957;0,55;0,995;1,29034848;2,90173573;31,38
tt309;tt309;0,602;0,996;0,523;0,303;1,28977217;2,90041701;31,12
tt310;tt310;0,518;1,912;0,1;0,276;1,30226031;2,9284996;30,78
tt311;tt311;0,052;0,624;0,141;0,509;1,31229597;2,95107565;29,92
tt312;tt312;0,205;0,172;0,069;1,26;1,31234397;2,95120042;29,82
tt313;tt313;0,056;0,209;0,386;0,125;1,32872619;2,98807569;28,98
tt314;tt314;0,524;0,238;0,158;0,178;1,31463297;2,95637943;28,64
tt315;tt315;0,106;0,181;0,118;0,17;1,3112467;2,94876346;28,5
tt316;tt316;0,125;0,516;0,139;0,59;1,31667663;2,96095981;28,61
tt317;tt317;0,473;0,183;0,153;0,253;1,33274416;2,99710023;28,05
tt318;tt318;0,055;0,128;0,462;0,247;1,33655786;3,00568839;29,49
tt319;tt319;0,499;1,024;0,343;1,008;1,35215246;3,0407584;28,97
tt320;tt320;0,481;0,184;0,192;0,31;1,36170549;3,06223173;31,36
tt321;tt321;0,322;1,704;0,247;0,129;1,34370095;3,02171418;31,01
tt322;tt322;1,118;0,874;0,83;1,39;1,31239201;2,95128689;31,19
tt323;tt323;2,194;1,89;0,19;0,703;1,30613932;2,93724039;31,2
tt324;tt324;1,437;0,659;0,173;0,351;1,289731;2,90033531;31,14
tt325;tt325;0,621;0,146;0,642;2,319;1,28307464;2,88537317;30,96
tt326;tt326;0,188;0,192;0,304;0,36;1,28222169;2,88345091;30,97
tt327;tt327;0,34;1,451;0,614;0,634;1,28882632;2,89831132;31,13
tt328;tt328;2,126;0,497;0,25;0,289;1,30064314;2,92491596;31,23
