2017-10-31,21:00:00;tt7294;0,34;tt7294;1,642;tt7294;0,145;tt7294;0,382
2017-10-31,22:00:00;tt7295;0,125;tt7295;0,454;tt7295;1,203;tt7295;0,538
2017-10-31,23:00:00;tt7296;0,123;tt7296;0,174;tt7296;0,328;tt7296;0,248
2017-11-01,00:00:00;tt7297;0,066;tt7297;0,105;tt7297;0,174;tt7297;0,138
2017-11-01,01:00:00;tt7298;0,212;tt7298;0,168;tt7298;0,217;tt7298;0,236
2017-11-01,02:00:00;tt7299;0,029;tt7299;0,467;tt7299;0,035;tt7299;0,41
2017-11-01,03:00:00;tt7300;0,19;tt7300;0,099;tt7300;0,153;tt7300;0,565
2017-11-01,04:00:00;tt7301;0,073;tt7301;0,327;tt7301;0,128;tt7301;0,245
2017-11-01,05:00:00;tt7302;0,114;tt7302;0,731;tt7302;0,186;tt7302;0,682
2017-11-01,06:00:00;tt7303;0,804;tt7303;0,127;tt7303;0,404;tt7303;0,552
2017-11-01,07:00:00;tt7304;0,14;tt7304;0,438;tt7304;0,059;tt7304;0,126
2017-11-01,08:00:00;tt7305;0,197;tt7305;0,521;tt7305;1,02;tt7305;0,058
2017-11-01,09:00:00;tt7306;0,065;tt7306;0,143;tt7306;0,191;tt7306;0,123
2017-11-01,10:00:00;tt7307;0,353;tt7307;0,293;tt7307;0,084;tt7307;0,713
2017-11-01,11:00:00;tt7308;0,406;tt7308;0,339;tt7308;0,143;tt7308;0,299
2017-11-01,12:00:00;tt7309;0,188;tt7309;0,798;tt7309;0,126;tt7309;0,635
2017-11-01,13:00:00;tt7310;0,301;tt7310;0,829;tt7310;1,095;tt7310;0,726
2017-11-01,14:00:00;tt7311;0,612;tt7311;0,317;tt7311;0,173;tt7311;0,338
2017-11-01,15:00:00;tt7312;0,247;tt7312;0,273;tt7312;0,313;tt7312;0,355
2017-11-01,16:00:00;tt7313;1,155;tt7313;0,311;tt7313;0,124;tt7313;3,569
2017-11-01,17:00:00;tt7314;1,426;tt7314;0,877;tt7314;1,266;tt7314;0,738
2017-11-01,18:00:00;tt7315;0,204;tt7315;0,476;tt7315;0,748;tt7315;0,152
2017-11-01,19:00:00;tt7316;0,311;tt7316;0,507;tt7316;0,239;tt7316;0,524
2017-11-01,20:00:00;tt7317;0,815;tt7317;0,801;tt7317;0,143;tt7317;1,104
2017-11-01,21:00:00;tt7318;0,406;tt7318;1,066;tt7318;0,276;tt7318;1,017
2017-11-01,22:00:00;tt7319;0,108;tt7319;0,322;tt7319;0,212;tt7319;0,457
2017-11-01,23:00:00;tt7320;0,581;tt7320;0,231;tt7320;0,037;tt7320;0,445
2017-11-02,00:00:00;tt7321;0,111;tt7321;0,256;tt7321;0,147;tt7321;0,418
2017-11-02,01:00:00;tt7322;0,042;tt7322;0,323;tt7322;0,118;tt7322;0,152
2017-11-02,02:00:00;tt7323;0,165;tt7323;0,119;tt7323;0,105;tt7323;0,204
2017-11-02,03:00:00;tt7324;0,365;tt7324;0,143;tt7324;0,04;tt7324;0,176
2017-11-02,04:00:00;tt7325;0,939;tt7325;0,218;tt7325;0,185;tt7325;0,584
2017-11-02,05:00:00;tt7326;1,517;tt7326;0,209;tt7326;0,259;tt7326;0,855
2017-11-02,06:00:00;tt7327;0,849;tt7327;0,312;tt7327;0,241;tt7327;0,156
2017-11-02,07:00:00;tt7328;0,987;tt7328;0,146;tt7328;0,148;tt7328;0,256
2017-11-02,08:00:00;tt7329;0,337;tt7329;0,406;tt7329;0,234;tt7329;0,739
2017-11-02,09:00:00;tt7330;0,37;tt7330;0,342;tt7330;0,96;tt7330;0,254
2017-11-02,10:00:00;tt7331;0,22;tt7331;0,214;tt7331;0,196;tt7331;0,15
2017-11-02,11:00:00;tt7332;0,225;tt7332;0,338;tt7332;1,446;tt7332;0,128
